job_position,job_link,company_name,company_profile,job_location,job_posting_date
Head of Data Science,https://ie.linkedin.com/jobs/view/head-of-data-science-at-inscribe-3597755326?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=tcEeLOVJh65Dq1Aj9ANZ9A%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,Inscribe,https://www.linkedin.com/company/inscribeai?trk=public_jobs_jserp-result_job-search-card-subtitle,Ireland,2023-05-04
NLP Scientist,https://ie.linkedin.com/jobs/view/nlp-scientist-at-elastic-3646659221?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=QcKJjA4HDeAuHduLabFjjg%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card,Elastic,https://www.linkedin.com/company/elastic-co?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-06-28
Senior Python Developer,https://ie.linkedin.com/jobs/view/senior-python-developer-at-berkley-group-3641479830?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=aY4Odf2FgP%2B3zRMc8I6m5A%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card,Berkley Group,https://ie.linkedin.com/company/berkley?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-06-21
AI Software Development Engineer,https://ie.linkedin.com/jobs/view/ai-software-development-engineer-at-intel-corporation-3649231167?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=pI8SP38vzhK6iTO5IyRUOw%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card,Intel Corporation,https://www.linkedin.com/company/intel-corporation?trk=public_jobs_jserp-result_job-search-card-subtitle,"Leixlip, County Kildare, Ireland",2023-06-30
"JUNIOR DEVELOPER - Dubai, UAE",https://ie.linkedin.com/jobs/view/junior-developer-dubai-uae-at-cobblestone-energy-3642302620?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=Hi8wDgkwFzPllnfS%2BrUhmw%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card,Cobblestone Energy,https://ae.linkedin.com/company/cobblestone-energy?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-06-22
Data Scientist,https://ie.linkedin.com/jobs/view/data-scientist-at-reperio-human-capital-3615594549?refId=0Q8rfACNHUdJUrM7SNvoRQ%3D%3D&trackingId=B9BZG0zjvVtyJfkezSTALA%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card,Reperio Human Capital,https://ie.linkedin.com/company/reperio-human-capital-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-05-23
"JUNIOR DEVELOPER - Dubai, UAE",https://ie.linkedin.com/jobs/view/junior-developer-dubai-uae-at-cobblestone-energy-3642302620?refId=JY4BnXXae4fHTXHG7QBTzA%3D%3D&trackingId=tlvUoO0wjiKs9WueFTv%2BjA%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card,Cobblestone Energy,https://ae.linkedin.com/company/cobblestone-energy?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-06-22
Python Developer,https://ie.linkedin.com/jobs/view/python-developer-at-morgan-mckinley-3646971006?refId=JY4BnXXae4fHTXHG7QBTzA%3D%3D&trackingId=LwzWpa1KUTy1uipT%2Fee1Zw%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card,Morgan McKinley,https://ie.linkedin.com/company/morgan-mckinley?trk=public_jobs_jserp-result_job-search-card-subtitle,"Limerick, County Limerick, Ireland",2023-06-26
Data Scientist,https://ie.linkedin.com/jobs/view/data-scientist-at-reperio-human-capital-3615594549?refId=JY4BnXXae4fHTXHG7QBTzA%3D%3D&trackingId=W8CYqugFRDSUVC2Lu12SGw%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card,Reperio Human Capital,https://ie.linkedin.com/company/reperio-human-capital-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-05-23
"JUNIOR DEVELOPER - Dubai, UAE",https://ie.linkedin.com/jobs/view/junior-developer-dubai-uae-at-cobblestone-energy-3642307078?refId=JY4BnXXae4fHTXHG7QBTzA%3D%3D&trackingId=WRECXUVu0F6mQR1O5yZc5w%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card,Cobblestone Energy,https://ae.linkedin.com/company/cobblestone-energy?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-06-22
Senior Data Scientist,https://ie.linkedin.com/jobs/view/senior-data-scientist-at-optum-3642032539?refId=JY4BnXXae4fHTXHG7QBTzA%3D%3D&trackingId=SPyO8xjYhnzqT%2Fk3tWztuw%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card,Optum,https://www.linkedin.com/company/optum?trk=public_jobs_jserp-result_job-search-card-subtitle,"Letterkenny, County Donegal, Ireland",2023-06-21
Principal Clinical Data Scientist,https://ie.linkedin.com/jobs/view/principal-clinical-data-scientist-at-novartis-ireland-3652866760?refId=JY4BnXXae4fHTXHG7QBTzA%3D%3D&trackingId=%2BOEW6IEuTAufYFE5uKEKnQ%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card,Novartis Ireland,https://ie.linkedin.com/company/novartis-ireland-ltd-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-07-02
Python Developer London (Cryptocurrency Exchange),https://ie.linkedin.com/jobs/view/python-developer-london-cryptocurrency-exchange-at-turn-block-talent-3587105028?refId=JY4BnXXae4fHTXHG7QBTzA%3D%3D&trackingId=m9p%2FMCM0IWlACso%2B9qhDaw%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card,Turn Block Talent,https://uk.linkedin.com/company/turnblock?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-04-01
Senior Data Scientist (Credit Risk Modeling),https://ie.linkedin.com/jobs/view/senior-data-scientist-credit-risk-modeling-at-optum-3542301617?refId=JY4BnXXae4fHTXHG7QBTzA%3D%3D&trackingId=fzEfcghBJWAH4mnCl4kR%2Bw%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card,Optum,https://www.linkedin.com/company/optum?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-03-24
Artificial Intelligence & Machine Learning R&D Lead,https://ie.linkedin.com/jobs/view/artificial-intelligence-machine-learning-r-d-lead-at-morgan-mckinley-3640180069?refId=JY4BnXXae4fHTXHG7QBTzA%3D%3D&trackingId=hdGhxYIlUqr2apGf6fY06A%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card,Morgan McKinley,https://ie.linkedin.com/company/morgan-mckinley?trk=public_jobs_jserp-result_job-search-card-subtitle,"Swords, County Dublin, Ireland",2023-06-19
Sr Engineer - Machine Learning,https://ie.linkedin.com/jobs/view/sr-engineer-machine-learning-at-xperi-inc-3584488179?refId=JY4BnXXae4fHTXHG7QBTzA%3D%3D&trackingId=ZMbUnypkfTeTxDC9mCdfmw%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card,Xperi Inc.,https://www.linkedin.com/company/xperi-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Galway, County Galway, Ireland",2023-03-30
QA Engineer,https://ie.linkedin.com/jobs/view/qa-engineer-at-expeditors-3645488253?refId=JY4BnXXae4fHTXHG7QBTzA%3D%3D&trackingId=PEjA4YurNdv0mVU%2B01%2Bhgw%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card,Expeditors,https://www.linkedin.com/company/expeditors?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dublin, County Dublin, Ireland",2023-06-27
